english	de	fr	ko	es	ru	el	zh-Hans	zh-Hant	it	pt-BR	ja	pl
Device drivers and Windows Update.	Gerätetreiber und Windows Update.	Pilotes de périphériques et Windows Update.	장치 드라이버와 Windows 업데이트.	Controladores de dispositivo y Windows Update.	Драйверы устройств и Windows Update.	Οδηγοί συσκευών και Windows Update.	设备驱动和 Windows Update。	裝置驅動程式和 Windows Update。	Driver del dispositivo e Windows Update.	Drivers do dispositivo e Windows Update.	デバイスドライバーと Windows Update。	Sterowniki urządzeń i Windows Update.
Cannot tell	Nicht feststellbar	Impossible à dire	확인 불가	No se sabe	Неизвестно	Άγνωστο	无法判断	無法判斷	Non si sa	Não dá para saber	判断できません	Nie wiadomo
Notifications	Benachrichtigungen	Notifications	알림	Notificaciones	Уведомления	Ειδοποιήσεις	通知	通知	Notifiche	Notificações	通知	Powiadomienia
Center tells you here when a driver, a Windows update or a new widget build turns up.	Hier meldet Center, wenn ein Treiber, ein Windows-Update oder eine neue Widget-Version auftaucht.	Center vous prévient ici quand un pilote, une mise à jour Windows ou une nouvelle version du widget arrive.	드라이버, Windows 업데이트, 새 위젯 버전이 나오면 Center가 여기에서 알려줍니다.	Center te avisa aquí cuando aparece un controlador, una actualización de Windows o una nueva versión del widget.	Center сообщает здесь, когда появляется драйвер, обновление Windows или новая сборка виджета.	Εδώ σας λέει το Center όταν εμφανιστεί οδηγός, ενημέρωση Windows ή νέα έκδοση widget.	出现驱动、Windows 更新或新的小组件版本时，Center 会在这里告诉你。	出現驅動程式、Windows 更新或新的小工具版本時，Center 會在這裡告訴你。	Qui Center ti avvisa quando compare un driver, un aggiornamento di Windows o una nuova build del widget.	O Center avisa aqui quando aparece um driver, uma atualização do Windows ou um novo build do widget.	ドライバー、Windows の更新、新しいウィジェットのビルドが出ると、Center がここで知らせます。	Center informuje tutaj, gdy pojawi się sterownik, aktualizacja Windows lub nowa wersja widżetu.
Mark all as read	Alle als gelesen markieren	Tout marquer comme lu	모두 읽음으로 표시	Marcar todo como leído	Отметить всё прочитанным	Όλα ως αναγνωσμένα	全部标为已读	全部標為已讀	Segna tutto come letto	Marcar tudo como lido	すべて既読にする	Oznacz jako przeczytane
Never	Nie	Jamais	안 함	Nunca	Никогда	Ποτέ	从不	從不	Mai	Nunca	しない	Nigdy
Every week	Jede Woche	Chaque semaine	매주	Cada semana	Каждую неделю	Κάθε εβδομάδα	每周	每週	Ogni settimana	Toda semana	毎週	Co tydzień
Every {0} weeks	Alle {0} Wochen	Toutes les {0} semaines	{0}주마다	Cada {0} semanas	Каждые {0} нед.	Κάθε {0} εβδομάδες	每 {0} 周	每 {0} 週	Ogni {0} settimane	A cada {0} semanas	{0} 週ごと	Co {0} tygodnie
Include test versions	Testversionen einbeziehen	Inclure les versions de test	테스트 버전 포함	Incluir versiones de prueba	Включая тестовые версии	Μαζί με δοκιμαστικές εκδόσεις	包含测试版本	包含測試版本	Includi le versioni di test	Incluir versões de teste	テスト版も含める	Uwzględnij wersje testowe
ClawTweaks {0} is available	ClawTweaks {0} ist verfügbar	ClawTweaks {0} est disponible	ClawTweaks {0} 사용 가능	ClawTweaks {0} está disponible	Доступен ClawTweaks {0}	Το ClawTweaks {0} είναι διαθέσιμο	ClawTweaks {0} 可用	ClawTweaks {0} 可用	ClawTweaks {0} è disponibile	ClawTweaks {0} está disponível	ClawTweaks {0} が利用できます	ClawTweaks {0} jest dostępny
Install it under Update & Release.	Unter Update & Release installieren.	Installez-la sous Update & Release.	Update & Release에서 설치하세요.	Instálala en Update & Release.	Установите в Update & Release.	Εγκαταστήστε το στο Ενημέρωση & Έκδοση.	在「更新与发布」中安装。	在「更新與發佈」中安裝。	Installalo in Update & Release.	Instale em Update & Release.	「更新とリリース」からインストールしてください。	Zainstaluj w Update & Release.
Driver update: {0}	Treiberupdate: {0}	Mise à jour de pilote : {0}	드라이버 업데이트: {0}	Nuevo controlador: {0}	Обновление драйвера: {0}	Ενημέρωση οδηγού: {0}	驱动更新：{0}	驅動程式更新：{0}	Nuovo driver: {0}	Atualização de driver: {0}	ドライバー更新: {0}	Aktualizacja sterownika: {0}
Version {0} is available.	Version {0} ist verfügbar.	La version {0} est disponible.	버전 {0}을(를) 사용할 수 있습니다.	La versión {0} está disponible.	Доступна версия {0}.	Η έκδοση {0} είναι διαθέσιμη.	版本 {0} 可用。	版本 {0} 可用。	La versione {0} è disponibile.	A versão {0} está disponível.	バージョン {0} が利用できます。	Wersja {0} jest dostępna.
{0} Windows update(s) waiting	{0} Windows-Update(s) warten	{0} mise(s) à jour Windows en attente	Windows 업데이트 {0}개 대기 중	{0} actualización(es) de Windows en espera	Ожидает обновлений Windows: {0}	{0} ενημέρωση/εις Windows σε αναμονή	{0} 个 Windows 更新等待中	{0} 個 Windows 更新等待中	{0} aggiornamenti Windows in attesa	{0} atualização(ões) do Windows aguardando	Windows の更新が {0} 件あります	{0} aktualizacji Windows czeka
No new notifications	Keine neuen Benachrichtigungen	Aucune nouvelle notification	새 알림 없음	Sin notificaciones nuevas	Новых уведомлений нет	Καμία νέα ειδοποίηση	没有新通知	沒有新通知	Nessuna nuova notifica	Nenhuma notificação nova	新しい通知はありません	Brak nowych powiadomień
Gamebar Widget Releases	Gamebar Widget Releases	Gamebar Widget Releases	Gamebar 위젯 릴리스	Gamebar Widget Releases	Релизы виджета Game Bar	Εκδόσεις widget Gamebar	Gamebar 小组件发布	Gamebar 小工具發佈	Release del widget Game Bar	Releases do widget da Game Bar	Gamebar ウィジェットのリリース	Wydania widżetu Game Bar
Check for updates and notify	Nach Updates suchen und benachrichtigen	Rechercher des mises à jour et notifier	업데이트 확인 및 알림	Buscar actualizaciones y notificar	Проверять обновления и уведомлять	Έλεγχος για ενημερώσεις και ειδοποίηση	检查更新并通知	檢查更新並通知	Cerca aggiornamenti e avvisa	Verificar atualizações e avisar	更新を確認して知らせる	Sprawdzaj aktualizacje i powiadamiaj
Windows Update	Windows Update	Windows Update	Windows 업데이트	Windows Update					Windows Update			
Status			상태		Статус	Κατάσταση	状态	狀態	Stato		状態	Stan
Uninstall…	Deinstallieren…	Désinstaller…	제거…	Desinstalar…	Удалить…	Απεγκατάσταση…	卸载…	解除安裝…	Disinstalla…	Desinstalar…	アンインストール…	Odinstaluj…
Steam removes the game files	Steam entfernt die Spieldateien	Steam supprime les fichiers du jeu	Steam이 게임 파일을 삭제합니다	Steam elimina los archivos del juego	Steam удаляет файлы игры	Το Steam αφαιρεί τα αρχεία του παιχνιδιού	Steam 会删除游戏文件	Steam 會刪除遊戲檔案	Steam rimuove i file del gioco	O Steam remove os arquivos do jogo	Steam がゲームのファイルを削除します	Steam usuwa pliki gry
Back to Recent	Zurück zu Zuletzt	Retour aux Récents	최근 항목으로	Volver a Recientes	К «Недавним»	Πίσω στα Πρόσφατα	返回「最近」	返回「最近」	Torna a Recent	Voltar a Recentes	「最近」に戻る	Wróć do Ostatnich
Tab visibility & order	Tab-Sichtbarkeit & Reihenfolge	Visibilité et ordre des onglets	탭 표시 및 순서	Visibilidad y orden de pestañas	Видимость и порядок вкладок	Ορατότητα και σειρά καρτελών	标签显示与顺序	標籤顯示與順序	Visibilità e ordine delle schede	Visibilidade e ordem das abas	タブの表示と並び	Widoczność i kolejność kart
Favorite	Favorit	Favori	즐겨찾기	Favorito	В избранное	Αγαπημένο	收藏	收藏	Preferito	Favoritar	お気に入り	Ulubione
Unfavorite	Favorit entfernen	Ôter des favoris	즐겨찾기 해제	Quitar favorito	Из избранного	Όχι αγαπημένο	取消收藏	取消收藏	Non preferito	Desfavoritar	お気に入り解除	Usuń z ulubionych
Rename…	Umbenennen…	Renommer…	이름 바꾸기…	Renombrar…	Переимен.…	Μετονομασία…	重命名…	重新命名…	Rinomina…	Renomear…	名前の変更…	Zmień nazwę…
Rename	Umbenennen	Renommer	이름 바꾸기	Renombrar	Переимен.	Μετονομασία	重命名	重新命名	Rinomina	Renomear	名前の変更	Zmień nazwę
Remove	Entfernen	Retirer	제거	Quitar	Убрать	Αφαίρεση	移除	移除	Rimuovi	Remover	削除	Usuń
Other	Sonstige	Autres	기타	Otros	Другое	Άλλο	其他	其他	Altro	Outros	その他	Inne
Recent immersive	Zuletzt Tab Immersiv	Récents immersif	최근 몰입 모드	Recientes inmersivo	Иммерсивные «Недавние»	Πρόσφατα καθηλωτικά	最近沉浸式	最近沉浸式	Recent immersivo	Recentes imersivo	最近を大きく表示	Ostatnie immersyjne
OptiScaler wiki · {0}	OptiScaler-Wiki · {0}	Wiki OptiScaler · {0}	OptiScaler 위키 · {0}	Wiki de OptiScaler · {0}	Вики OptiScaler · {0}	Wiki του OptiScaler · {0}			Wiki OptiScaler · {0}	Wiki do OptiScaler · {0}	OptiScaler の wiki · {0}	Wiki OptiScaler · {0}
Sleep	Standby	Veille	절전	Suspender	Сон	Αναστολή	睡眠	睡眠	Sospendi	Suspender	スリープ	Uśpij
Hibernate	Ruhezustand	Veille prolongée	최대 절전	Hibernar	Гибернация	Αδρανοποίηση	休眠	休眠	Ibernazione	Hibernar	休止状態	Hibernuj
Launch	Starten	Lancer	실행	Iniciar	Запустить	Εκκίνηση	启动	啟動	Avvia	Iniciar	起動	Uruchom
Edit	Ändern	Modifier	편집	Editar	Изменить	Επεξεργασία	编辑	編輯	Modifica	Editar	編集	Edytuj
Auto pre-restore — {0}	Auto-Sicherung vor Restore — {0}	Auto avant restauration — {0}	복원 전 자동 백업 — {0}	Copia automática previa — {0}	Копия перед восстановлением — {0}	Αντίγραφο πριν την επαναφορά — {0}	还原前自动备份 — {0}	還原前自動備份 — {0}	Pre-ripristino automatico — {0}	Pré-restauração automática — {0}	復元前の自動バックアップ — {0}	Kopia sprzed przywracania — {0}
ClawTweaks {0} · {1} · {2} stores · {3}	ClawTweaks {0} · {1} · {2} Stores · {3}	ClawTweaks {0} · {1} · {2} boutiques · {3}	ClawTweaks {0} · {1} · 스토어 {2}개 · {3}	ClawTweaks {0} · {1} · {2} tiendas · {3}	ClawTweaks {0} · {1} · магазинов: {2} · {3}	ClawTweaks {0} · {1} · {2} καταστήματα · {3}	ClawTweaks {0} · {1} · {2} 个商店 · {3}	ClawTweaks {0} · {1} · {2} 個商店 · {3}	ClawTweaks {0} · {1} · {2} archivi · {3}	ClawTweaks {0} · {1} · {2} lojas · {3}	ClawTweaks {0} · {1} · {2} ストア · {3}	ClawTweaks {0} · {1} · {2} sklepów · {3}
Choose a program	Programm auswählen	Choisir un programme	프로그램 선택	Elegir un programa	Выберите программу	Επιλέξτε πρόγραμμα	选择一个程序	選擇一個程式	Scegli un programma	Escolha um programa	プログラムを選ぶ	Wybierz program
